,"Thu 3/27","Fri 3/28","Sat 3/29","Sun 3/30","Mon 3/31","Tue 4/1","Wed 4/2","Thu 4/3","Fri 4/4","Sat 4/5","Sun 4/6","Mon 4/7","Tue 4/8","Wed 4/9","Thu 4/10","Fri 4/11","Sat 4/12","Sun 4/13","Mon 4/14","Tue 4/15","Wed 4/16","Thu 4/17","Fri 4/18","Sat 4/19","Sun 4/20","Mon 4/21","Tue 4/22","Wed 4/23"
KC,"C. Ragans (L)","OFF DAY","S. Lugo (R)","M. Wacha (R)","K. Bubic (L)","M. Lorenzen (R)","C. Ragans (L)","OFF DAY","S. Lugo (R)","M. Wacha (R)","K. Bubic (L)","M. Lorenzen (R)","C. Ragans (L)","S. Lugo (R)","M. Wacha (R)","K. Bubic (L)","M. Lorenzen (R)","C. Ragans (L)","S. Lugo (R)","M. Wacha (R)","K. Bubic (L)","M. Lorenzen (R)","C. Ragans (L)","S. Lugo (R)","M. Wacha (R)","OFF DAY","K. Bubic (L)","M. Lorenzen (R)"
game,"L4-7 vs CLE",,"W4-3 vs CLE","L2-6 vs CLE","W11-1 @ MIL","L0-5 @ MIL","L2-3 @ MIL",,"W8-2 vs BAL","L1-8 vs BAL","W4-1 vs BAL","W4-2 vs MIN","W2-1 vs MIN","L0-4 vs MIN","W3-2 vs MIN","L0-7 @ CLE","L3-6 @ CLE","W4-2 @ CLE","L1-4 @ NYY","L2-4 @ NYY","L3-4 @ NYY","L1-6 @ DET","L3-7 @ DET","L1-3 @ DET","Sun 1:40pm @ DET",,"Tue 7:40pm vs COL","Wed 7:40pm vs COL"
stats,"1-1 3.58 ERA",,"1-2 3.86 ERA","0-3 4.35 ERA","2-1 1.88 ERA","1-3 4.57 ERA","1-1 3.58 ERA",,"1-2 3.86 ERA","0-3 4.35 ERA","2-1 1.88 ERA","1-3 4.57 ERA","1-1 3.58 ERA","1-2 3.86 ERA","0-3 4.35 ERA","2-1 1.88 ERA","1-3 4.57 ERA","1-1 3.58 ERA","1-2 3.86 ERA","0-3 4.35 ERA","2-1 1.88 ERA","1-3 4.57 ERA","1-1 3.58 ERA","1-2 3.86 ERA","0-3 4.35 ERA",,"2-1 1.88 ERA","1-3 4.57 ERA"

LAA,"Y. Kikuchi (L)","OFF DAY","J. Soriano (R)","J. Kochanowicz (R)","T. Anderson (L)","K. Hendricks (R)","Y. Kikuchi (L)","OFF DAY","J. Soriano (R)","J. Kochanowicz (R)","T. Anderson (L)","OFF DAY","K. Hendricks (R)","Y. Kikuchi (L)","J. Soriano (R)","J. Kochanowicz (R)","T. Anderson (L)","K. Hendricks (R)","OFF DAY","Y. Kikuchi (L)","J. Soriano (R)","J. Kochanowicz (R)","T. Anderson (L)","K. Hendricks (R)","Y. Kikuchi (L)","OFF DAY","J. Soriano (R)","J. Kochanowicz (R)"
game,"L1-8 @ CWS",,"W1-0 @ CWS","W3-2 @ CWS","W5-4 @ STL","W9-7 @ STL","L5-12 @ STL",,"L6-8 vs CLE","W10-4 vs CLE","W6-2 vs CLE",,"W4-3 @ TB","L4-5 @ TB","W11-1 @ TB","L3-14 @ HOU","W4-1 @ HOU","L3-7 @ HOU",,"L0-4 @ TEX","L1-3 @ TEX","L3-5 @ TEX","W2-0 vs SF","Sat 9:38pm vs SF","Sun 4:07pm vs SF",,"Tue 9:38pm vs PIT","Wed 9:38pm vs PIT"
stats,"0-3 4.13 ERA",,"2-2 3.16 ERA","1-2 6.20 ERA","2-0 2.08 ERA","0-1 4.20 ERA","0-3 4.13 ERA",,"2-2 3.16 ERA","1-2 6.20 ERA","2-0 2.08 ERA",,"0-1 4.20 ERA","0-3 4.13 ERA","2-2 3.16 ERA","1-2 6.20 ERA","2-0 2.08 ERA","0-1 4.20 ERA",,"0-3 4.13 ERA","2-2 3.16 ERA","1-2 6.20 ERA","2-0 2.08 ERA","0-1 4.20 ERA","0-3 4.13 ERA",,"2-2 3.16 ERA","1-2 6.20 ERA"

LAD,"B. Snell (L)","Y. Yamamoto (R)","R. Sasaki (R)","OFF DAY","T. Glasnow (R)","D. May (R)","B. Snell (L)","OFF DAY","Y. Yamamoto (R)","R. Sasaki (R)","T. Glasnow (R)","D. May (R)","J. Wrobleski (L)","L. Knack (R)","OFF DAY","Y. Yamamoto (R)","R. Sasaki (R)","T. Glasnow (R)","D. May (R)","L. Knack (R)","B. Miller (R)","OFF DAY","Y. Yamamoto (R)","R. Sasaki (R)","T. Glasnow (R)","OFF DAY","D. May (R)","M. Sauer (R)"
game,"W5-4 vs DET","W8-5 vs DET","W7-3 vs DET",,"W6-1 vs ATL","W3-1 vs ATL","W6-5 vs ATL",,"L2-3 @ PHI","W3-1 @ PHI","L7-8 @ PHI","L4-6 @ WSH","L2-8 @ WSH","W6-5 @ WSH",,"W3-0 vs CHC","L0-16 vs CHC","L2-4 vs CHC","W5-3 vs COL","W6-2 vs COL","W8-7 vs COL",,"W3-0 @ TEX","L3-4 @ TEX","Sun 2:35pm @ TEX",,"Tue 7:40pm @ CHC","Wed 7:00pm @ CHC"
